video_id,video_title,upload_date,view_count,like_count,favorite_count,comment_count
S-CGw_fWEfA,El SIPDN   Cómo es la vida de un gamer profesional con Crecre   EP 166,2022-03-01,14530,473,0,80
847qMLoON_c,El SIPDN   Un podcast de campeonato mundial con Daniel Dhers   EP 165,2022-02-22,25655,1038,0,168
wDAfLRJDxbc,El SIPDN   Sobreviviendo a la naturaleza y a las redes con Andreína Borges   EP 164,2022-02-15,40648,1544,0,504
15_NrxfDEPQ,El SIPDN   Música de iglesia y grabar un especial de comedia con Lucas Lauriente   EP 163,2022-02-08,32747,1474,0,226
rZA2ChZXhbE,El SIPDN   La gente que dice  El que es pobre es porque quiere    EP 162,2022-02-01,38692,1320,0,215
SDIgDVXDcNM,El SIPDN   La irreverencia y la cárcel con Jóse Rafael Guzmán   EP 161,2022-01-25,58000,1649,0,331
V14fzgeX00M,El SIPDN   La RAE y el triunfo de aperturar   EP 160,2022-01-18,25892,794,0,108
Du-40JEBhkg,El SIPDN   Les cuento de mi viaje a Venezuela   EP 159,2022-01-13,109892,3610,0,657
JchFLWvY-HI,El SIPDN   Nuestras metas para el año nuevo   EP 158,2022-01-04,24558,880,0,121
WFxW1HySKnM,El SIPDN   Hablando de doblaje y stand up con Carlos Ballarta   EP 157,2021-12-28,26769,1091,0,139
NYK0NIbylqE,El SIPDN   Artistas expulsado de países  Ft  Chucho Roldán   EP 156,2021-12-21,33028,1106,0,161
nlMc1pCDqRE,El SIPDN   Los contratos anti spoiler de Marvel y la discriminación a los chores (shorts)   EP 155,2021-12-14,24459,877,0,141
x--kVVMiY-Y,El SIPDN   Cómo hacer un juego de video con Carl Zitelmann   EP 154,2021-12-07,15104,549,0,85
fZdfkcvmBko,El SIPDN   ¿Cuántos kilos se puede perder en una ida al baño?   EP 153,2021-11-30,21587,861,0,109
WtwLI2734ow,El SIPDN   La gente que dice  me odian porque soy muy sincera o  con Gabo Ruíz   EP 152,2021-11-24,55213,1854,0,308
YKn-GyIr-XE,El SIPDN   Mi viaje al norte de Argentina y la pachamama   EP 151,2021-11-16,20822,810,0,147
Pczrck4-iyA,El SIPDN   EPISODIO ESPECIAL 150 con Manuel Ángel Redondo   EP 150,2021-11-09,94523,3039,0,368
3to9a8LrKc4,El SIPDN   Robando 3MM de dólares con los juegos del calamar   EP 149,2021-11-03,27807,956,0,143
viO9QXhOqOk,El SIPDN   ¿Existe la feminidad frágil? con Estefanía León   EP 148,2021-10-26,35647,1283,0,171
xg14iXdmcIE,El SIPDN   Les cuento las fiestas más salvajes de Venezuela    EP 147,2021-10-19,29943,1168,0,184
UntLGXTnh8U,El SIPDN   Un venezolano en el mundial de globos   EP 146,2021-10-12,20480,800,0,123
