video_id,video_title,upload_date,view_count,like_count,favorite_count,comment_count
8Fb2GmLes04,El SIPDN   Autopromocionarse para lograrlo con Nícolas De Tracy   EP 168,2022-03-15,15250,588,0,106
WtLhkxArl4E,El SIPDN   Una guitarrista venezolana en Hollywood con Andrea Ferrero   EP 167,2022-03-08,16443,680,0,111
S-CGw_fWEfA,El SIPDN   Cómo es la vida de un gamer profesional con Crecre   EP 166,2022-03-01,17973,581,0,86
847qMLoON_c,El SIPDN   Un podcast de campeonato mundial con Daniel Dhers   EP 165,2022-02-22,27552,1105,0,176
wDAfLRJDxbc,El SIPDN   Sobreviviendo a la naturaleza y a las redes con Andreína Borges   EP 164,2022-02-15,42189,1600,0,512
15_NrxfDEPQ,El SIPDN   Música de iglesia y grabar un especial de comedia con Lucas Lauriente   EP 163,2022-02-08,33486,1506,0,230
rZA2ChZXhbE,El SIPDN   La gente que dice  El que es pobre es porque quiere    EP 162,2022-02-01,39439,1338,0,216
SDIgDVXDcNM,El SIPDN   La irreverencia y la cárcel con Jóse Rafael Guzmán   EP 161,2022-01-25,59414,1681,0,332
V14fzgeX00M,El SIPDN   La RAE y el triunfo de aperturar   EP 160,2022-01-18,26073,802,0,108
Du-40JEBhkg,El SIPDN   Les cuento de mi viaje a Venezuela   EP 159,2022-01-13,111338,3661,0,663
JchFLWvY-HI,El SIPDN   Nuestras metas para el año nuevo   EP 158,2022-01-04,24620,880,0,121
WFxW1HySKnM,El SIPDN   Hablando de doblaje y stand up con Carlos Ballarta   EP 157,2021-12-28,26962,1101,0,139
NYK0NIbylqE,El SIPDN   Artistas expulsado de países  Ft  Chucho Roldán   EP 156,2021-12-21,33367,1117,0,161
nlMc1pCDqRE,El SIPDN   Los contratos anti spoiler de Marvel y la discriminación a los chores (shorts)   EP 155,2021-12-14,24547,879,0,142
x--kVVMiY-Y,El SIPDN   Cómo hacer un juego de video con Carl Zitelmann   EP 154,2021-12-07,15168,551,0,85
fZdfkcvmBko,El SIPDN   ¿Cuántos kilos se puede perder en una ida al baño?   EP 153,2021-11-30,21655,864,0,109
WtwLI2734ow,El SIPDN   La gente que dice  me odian porque soy muy sincera o  con Gabo Ruíz   EP 152,2021-11-24,55940,1880,0,310
YKn-GyIr-XE,El SIPDN   Mi viaje al norte de Argentina y la pachamama   EP 151,2021-11-16,20850,812,0,147
Pczrck4-iyA,El SIPDN   EPISODIO ESPECIAL 150 con Manuel Ángel Redondo   EP 150,2021-11-09,95989,3074,0,371
3to9a8LrKc4,El SIPDN   Robando 3MM de dólares con los juegos del calamar   EP 149,2021-11-03,27908,958,0,143
viO9QXhOqOk,El SIPDN   ¿Existe la feminidad frágil? con Estefanía León   EP 148,2021-10-26,36081,1298,0,171
xg14iXdmcIE,El SIPDN   Les cuento las fiestas más salvajes de Venezuela    EP 147,2021-10-19,30022,1170,0,184
UntLGXTnh8U,El SIPDN   Un venezolano en el mundial de globos   EP 146,2021-10-12,20498,800,0,123
WtrO75aw5sc,El SIPDN   Las fotos tipo carnet y el calentamiento global   EP 145,2021-10-05,22349,782,0,122
KjzvpKRymyc,El SIPDN   Atrapamos a un ladrón y estafador  EP 144,2021-09-28,32308,1423,0,278
aqi1v33eL24,El SIPDN   ¿Cómo es ser una Miss y estamos a la moda? Con Daniela Di Giacomo   EP 143,2021-09-21,33380,1385,0,157
dLLRLKxlBGU,El SIPDN   Desastres naturales y consejos de migración con Chucho Roldán   EP 142,2021-09-14,28431,1000,0,165
TV_amudCDh0,El SIPDN   141 datos del cuerpo humano   EP 141,2021-09-07,42222,1510,0,207
HKu8kQU1p2Q,El SIPDN   ¿De dónde viene el auge de la astrología?   EP 140,2021-08-31,22776,897,0,122
qE1FcBlPA0E,El SIPDN   Cómo se filtran las películas y vienen los robots   EP 139,2021-08-24,24874,885,0,96
KB8tKwMKfpg,El SIPDN   ¿Hacer plata jugando en la computadora?    EP 138,2021-08-17,35841,1315,0,239
VxlXWDK7yOI,El SIPDN   Los UFOs y Scarlett Johansson contra Disney   EP 137,2021-08-10,24557,922,0,93
CkVb8cpAK5E,El SIPDN   ¿Cómo es la vida de un atleta de alto rendimiento? Con Alcides Palma   EP 136,2021-08-03,19246,673,0,83
VAQZhquM9XI,El SIPDN   El arte de la cocina y las redes con Andrés Cooking   EP 135,2021-07-27,25612,932,0,139
0qRgP0hcnT4,El SIPDN   La moda y los productos de teletienda con Led Varela   EP 134,2021-07-20,67083,2029,0,211
A8gwdMX44B8,El SIPDN   Hacer carrera en otro país y hacer podcast con Alex Goncalves   EP 133,2021-07-13,83052,2286,0,369
d6nM362VRss,El SIPDN   Atrapados en el extranjero con Manuel Ángel Redondo   EP 132,2021-07-06,72324,2150,0,210
1jPEh9QK0QU,El SIPDN   ¿QUÉ ESTÁ PASANDO CON BRITNEY? Con Estefanía León   EP 131,2021-06-29,33317,1160,0,190
