video_id,video_title,upload_date,view_count,like_count,favorite_count,comment_count
SSzMpNlzAbk,El SIPDN   La industria musical y los Grammys con Manuel Ángel Redondo   EP 116,2021-03-16,38756,1502,0,199
truwWIuDEdE,El SIPDN   Chismes de la realeza y Facebook odia los pezones   EP 115,2021-03-09,35426,1429,0,264
GNl1RflI3p4,"El SIPDN   La creatividad, la música y lo conservador de LATAM con Willie DeVille   EP114",2021-03-02,20248,706,0,69
LWCz5xYYHk0,El SIPDN   Ser madre en pandemia y una de carrera en la televisión con Erika de la Vega   EP 113,2021-02-23,54336,2110,0,424
xjEyg_DLetk,El SIPDN   Técnicas de conquista y cómo es ser padre soltero con Daniel Enrique   EP 112,2021-02-16,54096,1424,0,196
qXnFOHenIKs,El SIPDN   Cómo hacer plata en Internet con Leo Rojas   EP 111,2021-02-09,71338,2450,0,307
R9ox3lZx0T0,"El SIPDN   Genios, bullies y cómo vivir de ser guionista con Andreína Borges   EP 110",2021-02-02,31390,1136,0,212
egwNLjjnEis,El SIPDN   Navegar en mar abierto y la comedia como profesión con Emilio Lovera   EP 109,2021-01-26,80549,2726,0,420
3pofu1r1Z38,El SIPDN   ¿Qué es ser sexy y quién es él la más sexy del mundo? con Estefanía León   EP 108,2021-01-19,28065,1330,0,316
dp9RTerbZa4,El SIPDN   Cobra Kai en la vida real   EP 107,2021-01-12,21823,835,0,156
61P_C8VcTWY,El SIPDN   ¿Qué nos dejó el 2020 y cuántos años tiene el mundo?   EP 106,2020-12-29,24128,861,0,111
JMpY4Cbyalk,El SIPDN   La nueva cepa y el origen de Santa Claus   EP 105,2020-12-22,23625,1113,0,93
R4qfC-fcDv0,El SIPDN   El agua cotiza en la bolsa e Instagram nos odia   EP 104,2020-12-15,20422,801,0,154
AwsnQ5kzAEQ,El SIPDN   ¿Por qué a algunos nos gusta tanto el picante?    EP 103,2020-12-08,23949,785,0,136
pnBv32GzF5E,EL SIPDN   ¿Quién es la persona más famosa del mundo? ¿Y cómo c*ño funciona un Bitcoin?   EP 102,2020-12-01,28438,1050,0,275
8fP-uvcqm4w,El SIPDN   El like del papa y ¿Con cuántas personas te has acostado?   EP 101,2020-11-24,26146,924,0,145
StFgv9cEzWA,El SIPDN   El super increíble episodio 100,2020-11-17,26082,1454,0,360
1CZdJdocZ6g,El SIPDN   La falsa promesa del Onlyfans y llegó la vacuna   EP 99,2020-11-10,31025,1167,0,148
tVjyjgEDGrY,El SIPDN   Lo que dijo la alcaldesa de Bogotá y ¿Cuántos hijos tuvo Zeus?   EP 98,2020-11-03,21490,856,0,184
ly5zhNm3xVY,El SIPDN   Hacerlo con medias y la importancia del chisme   EP 97,2020-10-27,24038,931,0,112
yKufucFjQKE,El SIPDN   La venecocracia y por qué los iPhones son tan caros   EP 96,2020-10-20,27481,1004,0,187
HWWE_yyJ-Ko,"El SIPDN   Mi charla TEDx, consejos migratorios e introducción al gaming   EP 95",2020-10-13,23198,800,0,203
IwVctu6D-MA,El SIPDN   La importancia de Excel en la vida y qué es la izquierda y derecha política   EP 94,2020-10-06,23833,924,0,274
RpnqCm08hKI,El SIPDN   Se nos fue el 2020 y que viva la Comics Sans   EP 93,2020-09-29,18929,765,0,147
2JpH5b7hMwA,El SIPDN   Ventajas de orinar sentado y ¿qué hacer si se filtran mis nudes?   EP 92,2020-09-22,24113,900,0,163
A0R4vjsbGgs,"EL SIPDN   El freestyle, tumbando el estereotipo del rapero y los videojuegos con Akapellah   EP 91",2020-09-15,35861,1713,0,221
J8DiUd1zlnU,La otra pandemia:  Censura de medios,2020-09-09,14132,1510,0,231
RZmRqdd6_pQ,El SIPDN   La gente con dos celulares ¿qué? y los apodos en el reguetón con VicMcfly    EP 90,2020-09-08,23002,730,0,108
GpZzIyE2u0I,"El SIPDN   La psicología deportiva, los fanáticos locos y el deporte femenino   EP 89",2020-09-01,21970,906,0,182
QxgqrLKvwpk,"El SIPDN   El rap Venezolano y los recitales online con Marlon Morales, Lil Supa   EP 88",2020-08-25,33375,1584,0,258
GNCB72wjrqY,El Super Increíble Podcast   ¿Qué es el chimó y qué es la totona?   EP 87,2020-08-18,30853,1288,0,277
km807Hrnvl0,El Super Increíble Podcast   Las reglas de etiqueta de las videollamadas y Neuralink   EP 86,2020-08-11,22879,851,0,220
GNCtXTIDH5A,El Super Increíble Podcast   Adiós al Chavo del 8 y los shows online   EP 85,2020-08-04,29069,1057,0,259
-AhIbVexnWU,El Super Increíble Podcast   Los superheróes y los podcast con Alex Fernández   EP 84,2020-07-28,21473,739,0,138
ppxswP_Brds,El Zoomcito de Nanutria   ESPECIAL TONINA TANK,2020-07-26,35916,1284,0,84
ZngyVjLzJPY,El Super Increíble Podcast   Regatear y el vampiro gocho con Manuel Silva   EP 83,2020-07-21,46040,1600,0,268
X5KkSuKr74c,El Super Increíble Podcast   Curiosidades históricas con Led Varela   EP 82,2020-07-14,86976,2564,0,277
qcM7xlmYZTw,El Super Increíble Podcast   Peleas en la cárcel y nombres artísticos con Jóse Rafael Guzmán   EP 81,2020-07-07,84396,2622,0,309
1VZdMCLRg70,El Super Increíble Podcast   Famosos de Youtube y salir del closet con Alejandro Hernández   EP 80,2020-06-30,64256,2708,0,516
gGtfsGsYT7w,El Super Increíble Podcast   La nueva normalidad y el mes del orgullo   EP 79,2020-06-23,28699,994,0,144
KVGsW95D_Pk,El Super Increíble Podcast   Pagar con Whatsapp y Bob Esponja salió del closet    EP 78,2020-06-16,30696,1140,0,191
07fgmuFNf9s,El Super Increíble Podcast   La batalla de la cultura pop Venezolana   EP 77,2020-06-09,32061,1198,0,218
87oQHhZ43Jo,El Super Increíble Podcast   El SpaceX y formas de decirle al  delicioso    EP 76,2020-06-02,25382,977,0,161
71PB8WSkMTk,El Super Increíble Podcast   Clases y trabajo desde la casa y el regreso de los deportes   Ep75,2020-05-26,30926,1126,0,237
LYvzq2a6__4,El Super Increíble Podcast   DIRECTV en Venezuela y mi odio por el clickbait   EP 74,2020-05-19,46444,2070,0,298
2RqwipY3MXI,El Super Increíble Podcast   Los chistes que ofenden y tecnologías que fracasaron   EP 73,2020-05-12,36187,1351,0,173
fMjnyiKpLUc,"El Super Increíble Podcast   Lorena Bobbit,  trabajos en cuarentena y consejos migratorios   EP 72",2020-05-05,29012,1110,0,153
5GMryL7MnKM,"El Super Increíble Podcast   Los ovnis, los castrati y los apodos a la m4sturbaci*n femenina   EP 71",2020-04-28,40684,1876,0,240
5GdV88pHp5Y,El Super Increíble Podcast   El Parchís y el setzo virtual   EP 70&#39;,2020-04-21,35331,1573,0,211
NmbKtnuK1BA,El Super Increíble Podcast   El pelo en la biblia y monetizar la desgracia   EP 69,2020-04-14,38180,1419,0,244
EvKAD4VZBBI,El Super Increíble Podcast   Todos nos volvimos locos   EP 68,2020-04-07,34293,1366,0,258
xNjdiUGR0pg,El Super Increíble Podcast   ¿Hasta cuándo la cuarenten? y las polémicas de la Internet   EP 67,2020-03-31,35405,1316,0,305
Umc_2_hjj5c,El Super Increíble Podcast   El 2020 sí que nos sorprendió   EP 66,2020-03-24,35212,1385,0,254
XRmbiy2zhhU,El Super Increíble Podcast   Podcast en tiempo de cuarentena   EP 65,2020-03-17,34693,1352,0,221
fU7hkbhDReE,El Super Increíble Podcast   La Bad Bunny manía y el Super Increíble Challenge   EP 64,2020-03-10,37467,1329,0,234
lF_p8tEfVYs,El Super Increíble Podcast   Conversaciones intensas con Lasso   EP 63,2020-03-03,210483,7697,0,955
DaP-eM4ri7E,El Super Increíble Podcast   La vida oculta de los próceres con Jose Rafael Guzmán,2020-02-24,183118,4906,0,549
G1trxw6MRSQ,El Super Increíble Podcast   Peleas niches de la farándula venezolana   EP 61,2020-02-18,71678,2545,0,558
iAVx5UhwYjE,El Super Increíble Podcast   Los discursos de los Oscar y escándalos deportivos   EP 60,2020-02-11,25474,789,0,132
Wjo2-Zo1QkM,El Super Increíble Podcast   Los premios Oscar con @ChuchoRz   EP 59,2020-02-04,24915,838,0,173
B2pK5H4A-VU,El Super Increíble Podcast   El Coronavirus y qué pasó con Britney   EP 58,2020-01-29,35916,1020,0,159
_VZpTEPATgs,El Super Increíble Podcast   El principe Harry y orgías olímpicas con Gabo Ruíz   EP 57,2020-01-23,65032,2150,0,271
1jnY76P2pqc,El Super Increíble Podcast   Historias de borracheras con Manuel Ángel Redondo   EP 56,2020-01-15,203765,5997,0,498
PPKMeXOuIVI,El Super Increíble Podcast   Consejos mediocres para viajar   EP 55,2020-01-08,24770,796,0,135
BgR_HABUJzQ,Mi viaje a Francia,2020-01-06,8007,471,0,52
